,track_name,track_artist,lyrics
12039,Unintended,Muse,"[Verse 1]
You could be my unintended
Choice to live my life extended
You could be the one I'll always love
You could be the one who listens
To my deepest inquisitions
You could be the one I'll always love

[Chorus]
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before

[Verse 2]
First there was the one who challenged
All my dreams and all my balance
She could never be as good as you
You could be my unintended
Choice to live my life extended
You should be the one I'll always love

[Chorus]
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before
I'll be there as soon as I can
But I'm busy mending broken
Pieces of the life I had before
Before you
"
12020,Autumn,Day Felice,"Autumn wins
A story moving on
I’m hoping to not be forgotten
When the heat is gone

You’re in L.A
And your world is in a frame
Your summer estate’s under water
But what a life you made
So go on

Audiences
Inventing what you say
Stand at your side
Divided

He said it’s fake
Said that everything’s for sale
I don’t want in
I’ve tried it

I’m far away
Ready for autumn, gonna hibernate
Sending at thought up for September rain
To wash the waste away

Come rain
I’m best in autumn, come rain
Won’t be forgotten, come rain
I’m bеst in autumn, come rain

The dream you chasе
Competing to be sold
As seasons change I've had it

So spend your days
Keeping predators engaged
I don’t want in
Don’t ask

I’m far away
Ready for autumn, gonna hibernate
Sending a thought up for September rain
To wash the waste away

It’s getting late
Me and my pride are gonna hibernate
Staying inside I’m gonna watch and wait
Keep everything away

Come rain
I’m best in autumn, come rain
Won’t be forgotten, come rain
I’m best in autumn, come rain

Come rain
I’m best in autumn, and I’m not afraid
I won’t be forgotten, come rain
I’m best in autumn, come rain
"
12025,Feeling Good,Muse,"[Verse 1]
Birds flying high, you know how I feel
Sun in the sky, you know how I feel
Reeds drifting on by, you know how I feel

[Refrain]
It's a new dawn
It's a new day
It's a new life for me
And I'm feeling good

[Verse 2]
Fish in the sea, you know how I feel
River running free, you know how I feel
Blossom in the trees, you know how I feel

[Refrain]
It's a new dawn
It's a new day
It's a new life for me
And I'm feeling good

[Bridge]
Dragonfly out in the sun, you know what I mean, don't you know?
Butterflies are all having fun, you know what I mean
Sleep in peace when the day is done
And this old world is a new world
And a bold world, for me

[Verse 3]
Stars when you shine, you know how I feel
Scent of the pine, you know how I feel
Yeah, freedom is mine and you know how I feel

[Refrain]
It's a new dawn
It's a new day
It's a new life for me

[Outro]
Butterfly, ooh
Ooh-ooh-ooh
Freer than you
Ooh-ooh-ooh
Ooh-ooh-ooh
Feeling good
"
12033,Supremacy,Muse,"[Instrumental Intro]

[Verse]
Wake to see, your true emancipation is a fantasy
Policies have risen up and overcome the brave
Greatness dies, unsung and lost, invisible to history
Embedded spies brainwashing our children to be mean

[Chorus]
You don't have long
I am on to you
The time, it has come to destroy...
Your supremacy

[Guitar Solo]

[Interlude]
Oh-ooh-oh-oh
Oh-ooh-oh-oh

[Chorus]
You don't have long
I am on to you
The time, it has come to destroy...
Your supremacy

[Instrumental Bridge]

[Outro]
Supremacy
Yeah, ooh, yeah-yeah-ooh
"
12042,This Is War,Thirty Seconds To Mars,"[Verse 1]
A warning to the people
The good and the evil
This is war
To the soldier, the civilian
The martyr, the victim
This is war

[Pre-Chorus]
It's the moment of truth and the moment to lie
The moment to live and the moment to die
The moment to fight, the moment to fight
To fight, to fight, to fight

[Chorus]
To the right, to the left
We will fight to the death
To the edge of the Earth
It's a brave new world
From the last to the first
To the right, to the left
We will fight to the death
To the edge of the Earth
It's a brave new world
It's a brave new world

[Verse 2]
A warning to the prophet
The liar, the honest
This is war
To the leader, the pariah
The victor, the messiah
This is wa-a-ar yeah

[Pre-Chorus]
It's the moment of truth and the moment to lie
The moment to live and the moment to die
The moment to fight, the moment to fight
To fight, to fight, to fight

[Chorus]
To the right, to the left
We will fight to the death
To the edge of the Earth
It's a brave new world
From the last to the first
To the right, to the left
We will fight to the death
To the edge of the Earth
It's a brave new world
It's a brave new world
It's a brave new world

[Bridge]
I do believe in the light
Raise your hands into the sky
The fight is done, the war is won
Lift your hands toward the sun
Toward the sun (It's the moment of truth and the moment to lie
The moment to live and the moment to die)
Toward the sun (It's the moment of truth and the moment to lie
The moment to live and the moment to die)
Toward the sun (It's the moment to fight, the moment to fight
To fight, to fight, to fight)
The war is won

[Chorus]
To the right, to the left
We will fight to the death
To the edge of the Earth
It's a brave new world
From the last to the first
To the right, to the left
We will fight to the death
To the edge of the Earth
It's a brave new world
It's a brave new world
It's a brave new world

[Outro]
A brave new world
The war is won
The war is won
A brave new world
"
12029,Resistance,Muse,"[Verse 1]
Is our secret safe tonight?
And are we out of sight?
Or will our world come tumbling down?
Will they find our hiding place?
Is this our last embrace?
Or will the walls start caving in?

[Pre-Chorus]
(It could be wrong, could be wrong) But it should have been right
(It could be wrong, could be wrong) To let our hearts ignite
(It could be wrong, could be wrong) Are we digging a hole?
(It could be wrong, could be wrong) This is out of control
(It could be wrong, could be wrong) It can never last
(It could be wrong, could be wrong) Must erase it fast
(It could be wrong, could be wrong) But it could have been right
(It could be wrong, could be—)

[Chorus]
Love is our resistance
They'll keep us apart and they won't stop breaking us down
Hold me
Our lips must always be sealed

[Verse 2]
If we live a life in fear
I'll wait a thousand years
Just to see you smile again
Kill your prayers for love and peace
You'll wake the Thought Police
We can't hide the truth inside

[Pre-Chorus]
(It could be wrong, could be wrong) But it should have been right
(It could be wrong, could be wrong) To let our hearts ignite
(It could be wrong, could be wrong) Are we digging a hole?
(It could be wrong, could be wrong) This is out of control
(It could be wrong, could be wrong) It can never last
(It could be wrong, could be wrong) Must erase it fast
(It could be wrong, could be wrong) But it could have been right
(It could be wrong, could be—)

[Chorus]
Love is our resistance
They'll keep us apart and they won't stop breaking us down
Hold me
Our lips must always be sealed

[Outro]
The night has reached its end
We can't pretend
We must run
We must run
It's time to run
Take us away from here
Protect us from further harm
Resistance
"
12045,Map of the Problematique,Muse,"[Instrumental Intro]

[Verse 1]
Fear and panic in the air
I want to be free from desolation and despair
And I feel like everything I sow
Is being swept away, well I refuse to let you go

[Pre-Chorus]
I can't get it right
Get it right
Since I met you

[Chorus]
Loneliness be over
When will this loneliness be over?

[Verse 2]
Life will flash before my eyes
So scattered and lost, I want to touch the other side
And no one thinks they are to blame
Why can't we see that when we bleed, we bleed the same?

[Pre-Chorus]
I can't get it right
Get it right
Since I met you

[Chorus]
Loneliness be over
When will this loneliness be over?
Loneliness be over
When will this loneliness be over?
"
12046,Survival,Muse,"[Verse 1]
Race, life's a race
And I'm gonna win
Yes, I'm gonna win
And I'll light the fuse
And I'll never lose
And I choose to survive
(So I told you)
Whatever it takes
You won't pull ahead
I'll keep up the pace
And I'll reveal my strength
To the whole human race
(You were warned and
Didn't listen)
Yes, I am prepared
To stay alive
I won't forgive
Vengeance is mine
And I won't give in
Because I choose to thrive

[Chorus]
Yeah, I'm gonna win!

[Guitar Solo]

[Verse 2]
Race, it's a race
(So I told you)
And I am gonna win
Yes, I'm gonna win
And I will light the fuse
And I'll never lose
And I choose to survive
(You were warned and didn't listen)
Whatever it takes
You won't pull ahead
'Cause I'll keep up the pace
And I'll reveal my strength
To the whole human race

[Chorus]
Yes, I'm gonna win!

[Instrumental Bridge]

[Outro]
Fight! Fight! Fight! Fight!
Win! Win! Win! Win!
Yes I'm gonna win!
"
12014,Don't Go Away,Oasis,"[Intro]
One, two, three, four

[Verse 1]
Cold and frosty morning, there's not a lot to say
About the things caught in my mind
And as the day was dawning my plane flew away
With all the things caught in my mind

[Pre-Chorus]
I don't wanna be there when you're coming down
I don't wanna be there when you hit the ground

[Chorus]
So don't go away
Say what you say
Say that you'll stay
Forever and a day
In the time of my life
'Cause I need more time
Yes, I need more time
Just to make things right

[Verse 2]
Damn my situation and the games I have to play
With all the things caught in my mind
Damn my education, I can't find the words to say
With all the things caught in my mind

[Pre-Chorus]
I don't wanna be there when you're calling down
I don't wanna be there when you hit the ground

[Chorus]
So don't go away
Say what you say
Say that you'll stay
Forever and a day
In the time of my life
'Cause I need more time
Yes, I need more time
Just to make things right

[Bridge]
Me and you, what's going on?
All we seem to know is how to show
The feelings that are wrong

[Chorus]
So don't go away
Say what you say
Say that you'll stay
Forever and a day
In the time of my life
'Cause I need more time
Yes, I need more time
Just to make things right

And don't go away
Say what you say
Say that you'll stay
Forever and a day
In the time of my life
'Cause I need more time
Yes, I need more time
Just to make things right

[Outro]
Yes, I need more time
Just to make things right
Yes, I need more time
Just to make things right
So don't go away
"
12035,Panic Station,Muse,"[Verse 1]
You won't get much closer 'til you sacrifice it all (All)
You won't get to taste it with your face against the wall (Wall, wall)
Get up and commit, show the power trapped within (–In, –in)
Do just what you want to and now stand up and begin, uh

[Chorus]
Oooh 1, 2, 3, 4 fire's in your eyes
And this chaos, it defies imagination
Oooh 5, 6, 7, 8 minus 9 lives
You've arrived at panic station

[Verse 2]
Doubts will try to break you, unleash your heart and soul (Soul)
Trouble will surround you, start taking some control (–trol!)
Stand up and deliver your wildest fantasy (–sy, –sy)
Do what the fuck you want to, there's no one to appea-ea-ease

[Chorus]
Oooh 1, 2, 3, 4 fire's in your eyes
And this chaos, it defies imagination
Oooh 5, 6, 7, 8 minus 9 lives
You've arrived at panic station

[Interlude]
Waahoh!
Hey!
Uuh!

[Guitar Solo]

[Outro]
Oooh-aaah, oooh-aaah
Oooh 1, 2, 3, 4 fire's in your eyes
And this chaos, it defies imagination
Oooh 5, 6, 7, 8 minus 9 lives
And I know that you will fight for the duration
Oooh 1, 2, 3, 4 fire's in your eyes
And I know I'm not resisting your temptations
Oooh 5, 6, 7, 8 minus 9 lives
You've arrived at panic station
Woow!
Woo! Ugh!
"
12047,Reapers,Muse,"[Verse 1]
Home, it's becoming a killing field
There's a crosshair locked on my heart
With no recourse and there's no one behind the wheel
Hellfire, you're wiping me out, killed by

[Pre-Chorus]
Drones (Killed by)
Drones (Killed by)

[Chorus]
You rule with lies and deceit
And the world is on your side
'Cause you've got the CIA, babe
(You can run but you're never gonna hide)
But all you've done is brutalise
(You can run but you're never gonna gonna gonna)
Drones!

[Verse 2]
War, war just moved up a gear
I don't think I can handle the truth
I'm just a pawn
And we're all expendable
Incidentally electronically erased by your

[Pre-Chorus]
Drones (Killed by)
Drones (Killed by)

[Chorus]
You kill by remote control
And the world is on your side
You've got reapers and hawks, babe
(You can run but you're never gonna hide)
Now I am radicalized
(You can run but you're never gonna gonna gonna)
Drones! (Killed by)

[Guitar Solo]

[Chorus]
(You can run but you're never gonna hide)
(You can run but you're never gonna gonna gonna)
(You can run but you're never gonna hide)
(You can run but you're never gonna gonna gonna)
You rule with lies and deceit
And the world is on your side
You've got the CIA, babe
But all you've done is brutalise

[Chorus]
You kill by remote control
(You can run but you're never gonna hide)
And the world is on your side
(You can run but you're never gonna gonna gonna)
You've got reapers and hawks, babe
(You can run but you're never gonna hide)
Now I am radicalized
(You can run but you're never gonna gonna gonna)

[Outro]
Here come the drones!
Here come the drones!
Here come the drones!
"
12040,Chelsea Dagger,The Fratellis,"[Intro]
Oh!

[Refrain]
Do-do-do, do-do-do, do-do-do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do-do-do

[Verse 1]
Well, you must be a girl with shoes like that
She said, ""You know me well""
I seen you and little Steven and Joanna
'Round the back of my hotel, oh yeah
Someone said you was asking after me
But I know you best as a blagger
I said, ""Tell me your name, is it sweet?""
She said, ""My boy, it's Dagger"", oh yeah
(Woo!)

[Chorus]
I was good, she was hot, stealin' everything she got
I was bold, she was over the worst of it
Gave me gear; thank you, dear, bring your sister over here
Let her dance with me just for the hell of it

[Refrain]
Do-do-do, do-do-do, do-do-do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do-do-do
Do-do-do, do-do-do, do-do-do-do-do-do-do

[Verse 2]
Well, you must be a boy with bones like that
She said, ""You got me wrong""
I would've sold them to you if I could've
Just to have kept the last of my clothes on, oh yeah
Call me up, take me down with you when you go
I could be your regular belle
And I shall dance for little Steven and Joanna
'Round the back of my hotel, oh yeah
(Woo!)

[Chorus]
I was good, she was hot, stealin' everything she got
I was bold, she was over the worst of it
Gave me gear; thank you, dear, bring your sister over here
Let her dance with me just for the hell of it

[Instrumental Break]

[Bridge]
Chelsea, Chelsea, I believe
That when you're dancing slowly, sucking your sleeve
The boys get lonely after you leave
It's one for the Dagger and another for the one you believe
Chelsea, I believe
That when you're dancing slowly, sucking your sleeve
The boys get lonely after you leave
It's one for the Dagger, another for the one you believe

[Outro]
(Do-do-do, do-do-do, do-do-do-do-do-do-do) One you believe
(Do-do-do, do-do-do, do-do-do-do-do) Oh, no, no, no, no
(Do-do-do, do-do-do, do-do-do-do-do-do-do)
(Do-do-do, do-do-do, do-do-do-do-do-do-do)
(Do-do-do, do-do-do, do-do-do-do-do-do-do)
(Do-do-do, do-do-do, do-do-do-do-do) Hey, hey, hey!
(Do-do-do, do-do-do, do-do-do-do-do-do-do)
(Do-do-do, do-do-do, do-do-do-do-do-do-do)
"
12006,Sonnet,The Verve,"[Verse 1]
My friend and me
Looking through her red box of memories
Faded I'm sure
But love seems to stick in her veins you know

[Chorus]
Yes, there's love if you want it
Don't sound like no sonnet, my Lord
Yes, there's love if you want it
Don't sound like no sonnet, my Lord
My Lord

[Verse 2]
Why can't you see
That nature has its way of warning me
Eyes open wide
Looking at the heavens with a tear in my eye

[Chorus]
Yes, there's love if you want it
Don't sound like no sonnet, my Lord
Yes, there's love if you want it
Don't sound like no sonnet, my Lord
My Lord

[Bridge]
Sinking faster than a boat without a hull
My Lord
Dreaming about the day when I can see you there
My side
By my side

[Outro]
Here we go again and my head is gone, my Lord
I stop to say hello
'Cause I think you should know, by now
By now
By now
By now
By now
By now
Oh, by now
Oh, by now
Oh, by now
Oh, by now
Oh, by now
Oh, by now
Oh, by now
Oh, by now
"
12037,Mercy,Muse,"[Verse 1]
Help me, I've fallen on the inside
I tried to change the game, I tried to infiltrate but now I'm losing

[Pre-Chorus]
Men in cloaks always seem to run the show
Save me from the ghosts and shadows before they eat my soul, yeah

[Chorus]
Mercy, mercy
Show me mercy, from the powers that be
Show me mercy, can someone rescue me?

[Verse 2]
Absent gods and silent tyranny, we're going under
Hypnotized by another puppeteer, and tell me why the

[Pre-Chorus]
Men in cloaks always have to bring me down
Running from the ghosts and shadows the world just disavows, yeah

[Chorus]
Mercy, mercy
Show me mercy, from the powers that be
Show me mercy, can someone rescue me?

[Post-Chorus]
Show me mercy
Show me mercy, please

[Bridge]
Help me, I've fallen on the inside
And all the men in cloaks trying to devour my soul

[Chorus]
Show me mercy from the powers that be
Show me mercy from the gutless and mean
Show me mercy from the killing machines
Show me mercy, can someone rescue me?
"
